wallet_address,total_count,total_amount
0x8f940d83818d72502569ed5e9cf23d957820cc4f28c92e0b9abe020f7d77f3d5,492,574.64
0x0fe23a20425ab3ef35326f390be725d21641ef193ab7a5664842f414c08f6b27,100,401.64
0x5bfc9432fc1d1694c30afc629a252c1ba6ee638c98db508ba482ede74ef23762,37,148.72
0xc3636acab4774e8961eb1a0bfe61644e628e01c97a571e0cc3d5ab35194c5bca,15,15.44
0x53f965007a8e457e9c3fb6d1ea81e93a8aa66ff4fd1a38c5addf3f14c642dd77,6,6.06
0x94fdfce40c6b05d583206e259fa22fbb5e4c3d8acf616ad0e56d299cb65df158,5,74.15
0xa93f9e7002caee01955630395a8453ce4ef1eb1b1948a97f5d6aac70a3f992bf,4,54.48
0xf9e1bc296f92f11206be5267215a0dc8d3fdfb98236cabfdffef5e2b86a89832,2,6.62
0xcebe0efe02b2ecc20a3cd829b258b01a5cbd4e704e6c3bcab67a1368ee4bf035,2,2.04
0xb77f2a92b2514a5490f56da6f3c1bdb25f89611c0608606c5d2f80edccc591bb,2,0.01
